work_type,area_sqft,thickness_inches,floors,bricks,cement_bags,sand_cft,steel_kg,aggregate_cft,water_liters,labor_days
2,3547.5,0.0,1,0,129.1,72.6,0.0,0.0,490.8,57.6
4,417.2,0.0,1,0,0.0,0.0,0.0,0.0,20.3,2.8
2,1696.6,0.0,1,0,65.2,33.5,0.0,0.0,248.3,28.4
0,783.7,9.0,1,8105,17.3,53.6,0.0,0.0,495.8,15.7
4,1365.0,0.0,1,0,0.0,0.0,0.0,0.0,64.6,9.1
5,267.9,0.0,1,0,13.7,9.0,87.8,5.7,55.8,6.7
5,214.9,0.0,1,0,11.0,6.0,58.1,4.1,44.8,5.9
0,874.7,4.5,1,4226,9.7,30.1,0.0,0.0,264.8,18.0
4,3692.1,0.0,1,0,0.0,0.0,0.0,0.0,204.2,25.9
2,1246.2,0.0,1,0,53.0,24.0,0.0,0.0,191.1,21.6
3,95.6,0.0,2,0,178.9,379.7,151.1,750.5,103.4,5.9
4,4434.5,0.0,1,0,0.0,0.0,0.0,0.0,221.7,30.7
4,3423.0,0.0,1,0,0.0,0.0,0.0,0.0,176.0,23.0
1,142.3,0.0,1,0,11.8,5.7,0.0,0.0,32.2,1.5
3,651.2,0.0,1,0,751.7,1367.5,532.4,2710.6,317.7,21.9
4,4225.9,0.0,1,0,0.0,0.0,0.0,0.0,204.7,27.7
4,1748.2,0.0,1,0,0.0,0.0,0.0,0.0,89.4,11.6
3,895.4,0.0,1,0,1092.7,2031.8,694.3,3819.1,458.7,27.6
5,2813.7,0.0,1,0,146.1,79.7,807.7,58.5,580.5,62.4
3,4134.0,0.0,2,0,8955.1,17042.8,6478.4,36304.2,4155.4,279.3
3,2871.5,0.0,3,0,10153.7,19957.2,6773.4,36500.5,4377.1,311.2
2,594.2,0.0,1,0,24.3,11.5,0.0,0.0,85.5,10.0
5,3507.8,0.0,1,0,171.3,106.5,976.2,65.2,676.4,86.8
4,1896.2,0.0,1,0,0.0,0.0,0.0,0.0,90.0,13.2
2,564.9,0.0,1,0,22.3,11.3,0.0,0.0,81.8,9.4
3,3838.3,0.0,3,0,13667.4,25023.6,9438.9,48404.0,5341.3,367.6
0,1125.7,9.0,1,10190,27.8,78.1,0.0,0.0,685.1,22.0
0,1091.9,4.5,1,5519,14.5,36.7,0.0,0.0,341.9,22.0
0,4577.1,9.0,1,50783,105.4,306.9,0.0,0.0,2664.0,81.8
1,1337.0,0.0,1,0,104.2,49.9,0.0,0.0,321.4,13.0
0,1554.5,9.0,1,15507,34.5,112.5,0.0,0.0,927.0,32.1
4,3070.9,0.0,1,0,0.0,0.0,0.0,0.0,158.9,20.3
1,2762.4,0.0,1,0,217.6,104.0,0.0,0.0,686.9,29.7
0,1889.9,9.0,1,19221,45.2,134.1,0.0,0.0,1149.8,33.2
0,78.2,4.5,1,373,1.0,2.8,0.0,0.0,25.2,1.6
4,3787.8,0.0,1,0,0.0,0.0,0.0,0.0,176.6,24.4
0,654.5,4.5,1,3130,7.6,23.3,0.0,0.0,201.2,13.1
5,3863.9,0.0,1,0,189.1,122.8,1163.1,85.2,840.6,95.4
4,3105.3,0.0,1,0,0.0,0.0,0.0,0.0,162.8,19.7
5,3090.1,0.0,1,0,159.8,93.0,938.2,64.3,681.5,78.2
0,2574.8,9.0,1,25164,61.0,185.1,0.0,0.0,1692.1,52.1
4,743.9,0.0,1,0,0.0,0.0,0.0,0.0,37.2,5.2
3,340.5,0.0,1,0,379.9,726.9,287.7,1322.4,169.2,11.3
0,2306.0,9.0,1,21790,56.7,167.5,0.0,0.0,1363.5,50.9
1,3013.7,0.0,1,0,237.2,124.3,0.0,0.0,733.5,28.2
5,452.6,0.0,1,0,21.2,13.5,128.8,8.8,85.1,12.4
0,470.5,4.5,1,2357,5.4,16.6,0.0,0.0,140.4,9.3
0,431.7,4.5,1,2101,5.0,14.9,0.0,0.0,114.6,8.0
1,3739.9,0.0,1,0,319.6,153.9,0.0,0.0,949.5,43.2
4,4337.4,0.0,1,0,0.0,0.0,0.0,0.0,229.0,27.2
0,3689.7,9.0,1,33836,85.7,244.3,0.0,0.0,2400.5,77.0
2,3247.6,0.0,1,0,146.6,62.9,0.0,0.0,496.9,58.6
0,2826.6,9.0,1,27029,63.1,207.0,0.0,0.0,1857.9,52.6
5,1134.4,0.0,1,0,58.3,33.7,301.6,23.6,228.5,30.9
5,4647.6,0.0,1,0,231.5,153.7,1507.2,97.3,894.1,112.9
2,1005.5,0.0,1,0,38.2,20.3,0.0,0.0,163.7,17.6
5,2910.4,0.0,1,0,151.1,87.0,820.2,56.3,583.5,69.6
1,4949.9,0.0,1,0,388.4,208.0,0.0,0.0,1201.8,51.6
0,592.3,4.5,1,2794,6.2,19.9,0.0,0.0,182.8,11.7
5,3732.4,0.0,1,0,193.0,111.2,1157.1,73.9,768.1,95.6
4,1016.1,0.0,1,0,0.0,0.0,0.0,0.0,50.0,6.7
4,1186.1,0.0,1,0,0.0,0.0,0.0,0.0,61.5,8.0
0,4387.2,4.5,1,21387,57.7,157.8,0.0,0.0,1335.6,90.9
0,1168.7,4.5,1,6489,14.5,36.1,0.0,0.0,310.5,25.0
2,3142.3,0.0,1,0,120.2,61.6,0.0,0.0,483.3,55.6
3,3709.9,0.0,3,0,12118.0,23759.1,8417.9,44675.0,5984.9,378.4
2,3775.6,0.0,1,0,151.7,71.9,0.0,0.0,544.3,56.0
3,1992.5,0.0,1,0,2110.3,4789.7,1706.7,8141.0,997.6,66.0
